Material, Width, Height, Quantity

Door, 28, 80, 2
Door, 28, 96, 4
Door, 30, 80, 5
Door, 30, 84, 3
Door, 30, 96
Door, 32, 80, 6
Door, 32, 96, 4
Door, 34, 78, 4
Door, 34, 80, 5
Door, 36, 80, 7
Door, 36, 84, 2
Door, 36, 96, 3
Door, 42, 80
Door, 42, 84, 2
Door, 42, 96, 4

Window, 24, 24, 10
Window, 24, 36, 4
Window, 24, 48, 6
Window, 36, 24, 4
Window, 36, 36, 12
Window, 36, 48, 5
Window, 36, 60, 2
Window, 48, 36, 3
Window, 48, 48, 8
Window, 48, 60, 10
Window, 60, 24, 2
Window, 60, 36, 7
Window, 60, 48, 9
Window, 60, 60, 16
Window, 72, 24, 3
Window, 72, 36, 5
Window, 72, 48, 10
Window, 72, 60
Window, 84, 24, 10
Window, 84, 36, 5
Window, 84, 48, 4
Window, 84, 60, 6
